model,step_to,mean_distance,n
qwen14b,20,0.445345,12
qwen14b,21,0.498253,12
qwen14b,22,0.440565,9
qwen14b,23,0.508374,9
qwen14b,24,0.35315,6
qwen14b,25,0.398918,6
qwen14b,26,0.445885,6
qwen14b,27,0.470414,6
qwen14b,28,0.436663,6
qwen14b,29,0.30767,6
qwen14b,30,0.304416,6
qwen14b,31,0.319824,3
qwen14b,32,0.308841,3
qwen14b,33,0.28002,3
qwen14b,34,0.246876,3
qwen14b,35,0.284571,3
qwen14b,36,0.29815,3
qwen14b,37,0.314658,3
qwen14b_bf16,2,0.271805,25
qwen14b_bf16,3,0.295733,24
qwen14b_bf16,4,0.13073,24
qwen14b_bf16,5,0.16148,23
qwen14b_bf16,6,0.075337,2
qwen15b_vllm,2,0.538005,822
qwen15b_vllm,3,0.54015,801
qwen15b_vllm,4,0.496502,759
qwen15b_vllm,5,0.486498,645
qwen15b_vllm,6,0.540204,345
qwen15b_vllm,7,0.572719,222
qwen15b_vllm,8,0.557971,150
qwen15b_vllm,9,0.513289,111
qwen15b_vllm,10,0.575262,93
qwen15b_vllm,11,0.527642,63
qwen15b_vllm,12,0.507674,54
qwen15b_vllm,13,0.556499,42
qwen15b_vllm,14,0.50304,39
qwen15b_vllm,15,0.455415,33
qwen15b_vllm,16,0.461559,27
qwen15b_vllm,17,0.464353,24
qwen15b_vllm,18,0.5174,24
qwen15b_vllm,19,0.555527,15
qwen15b_vllm,20,0.48749,12
qwen15b_vllm,21,0.44142,12
qwen15b_vllm,22,0.448054,9
qwen15b_vllm,23,0.514995,9
qwen15b_vllm,24,0.480921,6
qwen15b_vllm,25,0.41988,6
qwen15b_vllm,26,0.362193,6
qwen15b_vllm,27,0.458335,6
qwen15b_vllm,28,0.353348,6
qwen15b_vllm,29,0.398978,6
qwen15b_vllm,30,0.368236,6
qwen15b_vllm,31,0.61806,3
qwen15b_vllm,32,0.427946,3
qwen15b_vllm,33,0.347614,3
qwen15b_vllm,34,0.41855,3
qwen15b_vllm,35,0.40836,3
qwen15b_vllm,36,0.379585,3
qwen15b_vllm,37,0.373116,3
qwen32b,2,0.355904,822
qwen32b,3,0.341564,801
qwen32b,4,0.307083,759
qwen32b,5,0.299113,645
qwen32b,6,0.336696,345
qwen32b,7,0.350797,222
qwen32b,8,0.374818,150
qwen32b,9,0.364208,111
qwen32b,10,0.348352,93
qwen32b,11,0.376293,63
qwen32b,12,0.319105,54
qwen32b,13,0.317554,42
qwen32b,14,0.337985,39
qwen32b,15,0.348367,33
qwen32b,16,0.347778,27
qwen32b,17,0.319443,24
qwen32b,18,0.334306,24
qwen32b,19,0.346281,15
qwen32b,20,0.321189,12
qwen32b,21,0.508857,12
qwen32b,22,0.472461,9
qwen32b,23,0.320163,9
qwen32b,24,0.257845,6
qwen32b,25,0.170902,6
qwen32b,26,0.3811,6
qwen32b,27,0.314946,6
qwen32b,28,0.27557,6
qwen32b,29,0.278924,6
qwen32b,30,0.408279,6
qwen32b,31,0.416195,3
qwen32b,32,0.300475,3
qwen32b,33,0.228793,3
qwen32b,34,0.320969,3
qwen32b,35,0.462546,3
qwen32b,36,0.302737,3
qwen32b,37,0.240981,3
qwen7b,2,0.332901,822
qwen7b,3,0.313173,801
qwen7b,4,0.269898,759
qwen7b,5,0.260535,645
qwen7b,6,0.326261,345
