model,task,runs,regressions,regressed_runs,regression_rate,recoveries,final_correct,final_acc,never_correct
deepseek14b,false_belief,210,29,29,0.1381,190,182,0.8667,3
deepseek14b,faux_pas,30,0,0,0.0,30,30,1.0,0
deepseek14b,implicature,600,145,142,0.2367,252,189,0.315,324
deepseek32b,false_belief,210,44,44,0.2095,217,197,0.9381,0
deepseek32b,faux_pas,30,3,3,0.1,31,28,0.9333,1
deepseek32b,implicature,600,211,203,0.3383,323,228,0.38,261
deepseek7b,false_belief,210,143,143,0.681,180,47,0.2238,20
deepseek7b,faux_pas,30,5,5,0.1667,18,13,0.4333,12
deepseek7b,implicature,600,55,55,0.0917,72,37,0.0617,510
